periode_data,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
201904,"Jakarta Barat","KEC. KEBON JERUK","KEL. KEDOYA SELATAN",5,1,7,0,0,"10 s/d 30 cm","tgl. 08, 27",0,0,0,0,0,0,0,0
201904,"Jakarta Barat","KEC. KEMBANGAN","KEL. KEMBANGAN UTARA","01, 04",2,2,44,138,"40 s/d 110 cm","tgl. 27",0,0,0,0,209,1,0,0
201904,"Jakarta Barat","KEC. KEMBANGAN","KEL. KEMBANGAN SELATAN",9,1,1,0,0,"20 cm","tgl. 27",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. KEBAYORAN BARU","KEL. PETOGOGAN","02, 03",2,19,0,0,"10 s/d 40 cm","tgl. 02, 27",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. KEBAYORAN BARU","KEL. CIPETE UTARA",6,1,3,0,0,"30 s/d 90 cm","tgl. 27",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. PASAR MINGGU","KEL. JATI PADANG","02, 03, 04, 05, 06",5,1,0,0,"20 s/d 50 cm","tgl. 02, 16, 30",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. PASAR MINGGU","KEL. PEJATEN TIMUR","05, 06, 07, 08",4,7,380,875,"100 s/d 220 cm","tgl. 24, 26, 27",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. PANCORAN","KEL. PENGADEGAN","01, 02, 11",3,4,167,639,"10 s/d 250 cm","tgl. 24, 26, 27",0,0,0,0,539,3,0,0
201904,"Jakarta Selatan","KEC. PANCORAN","KEL. RAWAJATI","01, 03, 07",3,7,0,0,"30 s/d 100 cm","tgl. 26",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. PANCORAN","KEL. CIKOKO",1,1,1,0,0,"20 s/d 30 cm","tgl. 26",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. TEBET","KEL. KEBON BARU",10,1,3,0,7,"10 s/d 50 cm","tgl. 24, 26",1,0,0,0,7,1,0,0
201904,"Jakarta Selatan","KEC. TEBET","KEL. MANGGARAI",1,1,2,0,0,"50 s/d 100",tgl.24,0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. JAGAKARSA","KEL. LENTENG AGUNG",7,1,1,0,0,"30 s/d 50 cm","tgl. 26",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. JAGAKARSA","KEL. SRENGSENG SAWAH",1,1,2,0,0,"30 cm","tgl. 26",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. JAGAKARSA","KEL. JAGAKARSA",2,1,1,0,0,"10 s/d 20 cm","tgl. 30",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. MAMPANG PRAPATAN","KEL. BANGKA",2,1,1,0,0,"35 s/d 70 cm","tgl. 27",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. PONDOK PINANG","05, 08",2,4,0,0,"10 s/d 60 cm","tgl. 27, 30",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. CIPULIR",10,1,1,0,0,"10 s/d 20 cm","tgl. 30",0,0,0,0,0,0,0,0
201904,"Jakarta Selatan","KEC. CILANDAK","KEL. PONDOK LABU",3,1,2,0,0,"10 s/d 50 cm","tgl. 27",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. MAKASAR","KEL. CIPINANG MELAYU","02, 03, 04",3,11,0,0,"20 s/d 60 cm","tgl. 02, 13, 30",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. MAKASAR","KEL. KEBON PALA","01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",11,51,0,0,"10 s/d 50 cm","tgl. 02, 30",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. MAKASAR","KEL. MAKASAR","04, 05, 07",3,13,0,0,"10 s/d 100 cm","tgl. 30",0,0,0,0,24,1,0,0
201904,"Jakarta Timur","KEC. JATINEGARA","KEL. KAMPUNG MELAYU","04, 05, 06, 07, 08",5,30,738,2312,"10 s/d 250 cm","tgl. 05, 24, 26, 30",0,0,0,0,1137,5,0,0
201904,"Jakarta Timur","KEC. JATINEGARA","KEL. BIDARA CINA","04, 05, 06, 07, 11, 12, 14, 15, 16",9,34,1127,3496,"20 s/d 220 cm","tgl. 24, 26",1,0,0,0,390,4,0,0
201904,"Jakarta Timur","KEC. KRAMAT JATI","KEL. CAWANG","01, 02, 03, 05, 06, 08, 12",7,20,459,1384,"10 s/d 150 cm","tgl. 24, 26, 30",0,0,0,0,1084,4,0,0
201904,"Jakarta Timur","KEC. KRAMAT JATI","KEL. BALEKAMBANG","01, 02, 04, 05",4,8,0,0,"30 s/d 70 cm","tgl. 24, 26",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. KRAMAT JATI","KEL. CILILITAN","05, 06, 07, 15, 16",5,16,0,0,"20 s/d 170 cm","tgl. 24, 26",0,0,0,0,60,1,0,0
201904,"Jakarta Timur","KEC. MATRAMAN","KEL. KEBON MANGGIS",4,1,3,0,0,"10 s/d 20 cm","tgl. 27",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. CIRACAS","KEL. CIBUBUR","03, 10, 12",3,10,0,0,"10 s/d 20 cm","tgl. 28",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. CIRACAS","KEL. KELAPA DUA WETAN",2,1,2,0,0,"10 s/d 30 cm","tgl. 28",0,0,0,0,0,0,0,0
201904,"Jakarta Timur","KEC. CIRACAS","KEL. RAMBUTAN","02, 03, 05",3,7,0,0,"20 s/d 40 cm","tgl. 30",0,0,0,0,150,3,0,0
201905,"Jakarta Selatan","KEC. JAGAKARSA","KEL. JAGAKARSA","03, 02",2,4,0,0,"10 s/d 30 cm","tgl.  30 April, 04 Mei",0,0,0,0,0,0,0,0
201905,"Jakarta Selatan","KEC. PASAR MINGGU","KEL. PEJATEN TIMUR","05, 06, 07, 08",4,6,150,355,"20 s/d 40 cm","tgl. 06",0,0,0,0,0,0,0,0
201905,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. CIPULIR",10,1,1,0,0,"10 s/d 20 cm","tgl. 30 April",0,0,0,0,0,0,0,0
201905,"Jakarta Selatan","KEC. KEBAYORAN LAMA","KEL. PONDOK PINANG",5,1,1,0,0,"10 s/d 30 cm","tgl. 30 April",0,0,0,0,0,0,0,0
201905,"Jakarta Timur","KEC. JATINEGARA","KEL. KAMPUNG MELAYU","04, 05, 07",3,5,0,0,"5 s/d 20 cm","tgl. 06, 16",0,0,0,0,0,0,0,0
201905,"Jakarta Timur","KEC. JATINEGARA","KEL. BIDARA CINA","07, 11",2,4,0,0,"20 s/d 30 cm","tgl. 06, 16",0,0,0,0,0,0,0,0
201905,"Jakarta Timur","KEC. MAKASAR","KEL. CIPINANG MELAYU","03, 04",2,11,0,0,"20 s/d 100 cm","tgl. 30 April",0,0,0,0,0,0,0,0
201910,"Jakarta Selatan","KEC. TEBET","KEL. KEBON BARU",10,1,2,0,0,"10 s/d 30 cm","tgl. 09 Oktober",0,0,0,0,0,0,0,0
201910,"Jakarta Selatan","KEC. PASAR MINGGU","KEL. PEJATEN TIMUR","05, 06, 07, 08",4,6,0,0,"60 s/d 100 cm","tgl. 09 Oktober",0,0,0,0,0,0,0,0
201910,"Jakarta Selatan","KEC. PANCORAN","KEL. PENGADEGAN",1,1,1,0,0,"30 cm","tgl. 09 Oktober",0,0,0,0,0,0,0,0
